,0
43,i get it that the motivation behind the aca obamacare was a good however whats stupid about the aca is that you should be able to shop around and buy full health insurance coverage from any insurer in any state regardless of where you reside and you should be able to see the medical provider of your choice regardless of any socalled network or state requirements brbrlet the carriers compete if there are no carriers who want to go into this business then the government will need to set up an insurance company or set up a system like the assigned risk pool where uninsureds can sign up and the government assigns the customer to a rotating list of carriers whether the carriers like it or notbrbri am in new york my car insurance comes from an insurance company in illinois and when i need to repair my car for an insured incident i can take it to anyone i please thats the way it should be with health insurance
44,its always funny how quickly politicians switch sides when circumstances shift the republicans now want to move ahead while the democrats want to stop things in their tracks eight years ago it was exactly the opposite brbrhypocrites all 
45,regrets are filing in via twitter via his own previous supporters this is an american issue not a party issue he has broken many campaign promises and most certainly not showing any signed knows how to heal or govern brbrhere is a link to some disgruntled former supportersbrbra hrefhttpsmobiletwittercomfreeyourmindkidlangen titlehttpsmobiletwittercomfreeyourmindkidlangen targetblankhttpsmobiletwittercomfreeyourmindkidlangena
46,obstruct obstruct obstruct 
47,why is it writers analysts and such are scrambling to  frame all around obama obamas this obamas that the policies if you will on the domestic front can more accurately and honestly be defined as the peoples policies if one looks honestly at environmental social health policies and more they were all based on doing the mostgood for the mostpeople so againanother writer wishes to shape a narrative to seemingly fit a prescribed but false angle the undoing of obama unfortunately the current angle being pushed by an increasing group of journalists is incorrectbr in these last two weeks before we enter  unknown terrain perhaps there needs be a nyt series titled  the undoing of america
48,what will the republicans replace obama care with  how will those who are depending on benefits from obamacare react when their benefits are repealed
49,amusing but sad to read comments like thisbrbrwe also know that trump knows more than the 20 plus intelligence agencies charged with gathering information on our enemiesbrbrpeople who have been complaining for years about the cia now imply we should treat everything they tell us as the gospel truthbrbrim more than willing to hear evidence of russian hacking but ive had more than my fill of unnamed intelligence officials passing on their assessments that hacking occurred time for some evidence
50,according to mitch mcconnell its a big job to actually have responsibility and produce results  it took him 8 years to realize this  dont worry mitch trump will be a one term president they need to be prepared for accept some ot the same tactics employed during the obama years democrats still have the filibuster and liberal attorney generals can file lawsuits against a president trump who will no doubt violate the constitution repeatedly
51,obamas policies are in peril because americans voted out so many members of his party  if the president didnt want his policies to end with his presidency he should have worked to make sure there were enough democrats to ensure they continued  he did not  
52,it is not only obamas policies which are being threatened but the entire progressive agenda since franklin delano roosevelt the republicans have said many times that they plan to do this and now they might have a chance hopefully there will be some in congress who can stand up to them
53,i am still earnestly trying to comprehend what modern republicanism stands for all i see and hear from its leaders is tearing down eliminating ending redundant postponing repealing redundant where is the growing adding enhancingbr the fraud amp waste song and dance wears thin like a 33 lp scratched by needles trickledown never got downbrderegulation brings competition and brings down prices has never worked yetbr the airline deregulation act of oct 1978 brought what we now have   in what is left of commercial aviationbr the breakup of ma bell in the early 1980s today looks an awful lot like it was when  telephone service  was a monopolybrso please republican voters if youre listening and reading tell me what it is that draws you to republicanism
54,the tide will turn   2018 is a door step away 
55,in trump we have a seemingly more jovial hitler typebrin other words perhaps americas first dictatorstyle of chief executive
56,its kind of like waiting for the empire strikes back
57,one can only hope that the democrats roadblocks would be modesttomoderately effective and that 2018 would be a hopeful year for democratsbrbrif much of aca amp the medicare tax for it would survive that would be great if aca is really damaged that would be disastrous for very many millions of americans 
58,nearly 50000 american lives have been saved by the aca since its implementation   brbrthe gop wants to kill the aca they dont seem to mind death panels as long as theyre calling the shots
59,trumps election actually gave the democrats a mandate to obstruct trump and the gop 247  brbrthe overwhelming popular vote for clinton demands it the majority of americans have spoken   brbrloud and clear
60,president obama brbrplease please appoint garland to scotus before you leave  it would be your last presidential gesture of hope
61,well done trump voters the guys with free excellent healthcare for life are going to repeal yours and expect you to be glad
62,nothingabsolutely nothing will change what the goprussian connection is planning for america and trumps cabinet picks also offer grave damage to our environment water air and even social security and medicare as the gop finally has their great enemy  that is average americans  finally cornered and disarmedbrbrthe gop always needs someone to hateglad im on the way out i hope ill go quickly now and not have to watch as they deliver the coup detat to the american dream for the average americans brbrso sad too badbyebye miss american pie
63, jackieall true of course but dont expect any recognition of these facts from your typical nyt commenter  the end all be all of liberals who treat this paper as the bible is that if you do not agree with them and did not vote for hrc then you  are a racist bigoted miscogynistic xenophobeno exceptions is the view as they look down their noses at the republican hoi polloi  even losing an election cant shake their social justice warrior tree  i prefer things as they are now if they refuse to change their ways to actually deign to have a conversation with the deplorables they will get re shellacked in 2018 which suits me just fine  
64,every one of the republicans in congress should watch the video of the seniors mobbing dan rostenkowski
65,when a greyhound actually catches the mechanical bunny heshe is retired  they will never race againbrwhat does a dog do when they finally catch a car and grab the bumperbrbrthe repubs have caught the bunny and grabbed the bumper  now they dont know what to do  after years of sniping obstructing lying saying no and calling the president a king a muslim a member of the muslim brotherhood and the founder of isis they own the whole kit and caboodlebrbrif people believe trump has no viable policies so do the repubsbrbrdo they really want to carpet bomb aleppo take health insurance away from millions of americans cut taxes on the wealthy and turn the executive branch into a corporation with trump as ceo and all the billionaires on his cabinet as the board of directorsbrbrwill the national security of the us be run by putin lovers and conspiracy theoristsbrbrwhat a dilemna  over the next few years all those rednecks racists rednecks homophobic prolife trumpsters will wake up and realize they have been connedbrbri am happy for hillary  she and bill can devote their time to the poor and sick around the worldbrbri am sad for the country the press the working class college students the sick and the poorbrbrgood luck  stay strong and never give up hopebrbrthe force is with you
66,with new congress poised to convene obamas policies are in peril the article headline says it all trump was elected to undo the peril of the insane obama policies thank god crone hrc was resoundly defeated let the the dismantling of obama policies and restoration of america begin the 8 year obama nightmare is coming to an end  america won will survive to fight another day
67,presidentelect trumps supporters expectbrbr1 a wall on our border with mexicobr2 expulsion of more than 11 million undocumented immigrantsbr3 the return to the us of millions of manufacturing jobsbrbrthe gop now has the absolute political power to make all these promises come true  trump voters will consider anything less to be political trickery and will be illreceived by the voters who gave president trump and congress such extraordinary control of our government  brbrtax cuts for the rich and corporations will not be considered a satisfactory substitute 
68,the democrats are so passive  if it was a democratic president coming into office with all the massive conflicts of interest that trump has the republicans would already be in court having injunctions filed and the congressional committees and special prosecutors would already be hiring their staffs
69,gop  guardians of putin pollution psychopaths greed over people wreckpublicansbrno matter how i label them there isnt anything positive this party has done for our country in the past 40 years they have pursued economic and social policies that have hollowed out the middle class pushed more people towards and over the precipice of economic ruin closed the doors to an affordable and equitable justice system exploited and expanded divisions within the country undermined our international credibility eroded our educational system put money and selfinterests ahead of the greatest good for the american people continuously worked to erode any safety nets i could go on but its all to obvious to bother i have no idea how these people can wear their american flag lapel pins and find any worth in their lives they are a sad excuse for an american political party
70,i have been listening to mitch mcconnell and the leadership of the house castigate and block our president at every turn for eight long years  they have done much harm to this country and now they must pay the piper  it is time for them to put up or shut upbrthe aca must be repealed immediately  all of president obamas illegal regulations must be repealed  taxes must be cut for industry and individuals  banks must become unregulated and free to do as they please  consumer protections must be ended  it would be good to close the departments of education health and human services and the epa   the department of energy could also be downsized let the states do what they maybrfinally we must privatize both social security and medicare so that individuals can have more freedom to do what they please with their own hard earnings and take care of their own retirements  it is these promises on which the republicans have built their house of cards  lets see them get to it
71,from the looks of the comments the drumbeat of the stolen election continues  brbrlet me remind you  democrats not only lost the presidency to republicans they lostbrbr1 the housebr2 the senatebr3 the majority of the nations governorshipsbr4  1500 state assembly seats a recordbrbrand still they are going to fight for what they perceive as right  for instance the affordable care act  except they conveniently forget that this is perhaps one of the most unpopular pieces of legislation in history and that the majority of americans opposed it  that cognitive dissonance  which continues today  is why they lost so resoundly in this election
72,all you americans out there thinking we won just because the gop is now in charge of the congress presidency and probably the supreme court have you actually considered how incredibly onedimensional that kind of government isbrand how similar it is to a dictatorship  or even that kind of government which is currently found in putins russiabrits time to realize this country is tilting so far in one direction that its in danger of capsizing altogetherbrunless that is what you wantbrthen there will be no winners
73,the electorate stopped w from privatizing ss so i hope they will see the terrible consequences of eliminating the aca the mid terms are only 2 years away and 2 years is more than enough time to see the dangers of having republicans in charge 
74,a heritage plan first put into the real world by a republican governor is now a socialist plot to destroy our countrybrjust like deficits in government is horrible unless the gop does it
75,i think the republicans deserve every bit of cooperation they gave obama and the democrats over the past 8 years
76,this headline with new congress poised to convene obamas policies are in peril focusses on the least important thingbrpolicies dont suffer obama wont suffer its the american people who are in peril from the new congress eg at risk of losing healthcarebrso perhaps a better headline is with new congress poised to convene millions of americans in peril some will die
77,everyone who loses their obamacare coverage needs to line up on the sidewalks for blocks around their local public hospitals holding signs saying lost my obamacare  i cant afford private health insurance i have a preexisting condition etc  tv news loves that kind of thing come to think of it dont wait for the axe to fall do it on january 21st so president trump and republicans in congress can get the message before they mess with 20 million american voters health insurance aka their lives of course they wont do a full repeal right out of the gate theyre not stupid so you have to keep showing up every week although i have medicare ill stand with the younger working people because my children are affected if people all over the country did this on the same day we will be heard
78,this is certainly an outcome that is devoutly to be wished for  the only question is whether they can start today rather than tomorrow
79,the only thing clear is that republicans refuse to listen to fact reason truth science and logic and refuse to believe what they see with their own eyes and hear with their own earsbrbrthey know this man they voted for is not a good business man  he is a liar and a cheat and a contract breaker they know he is a serial cheater on his vows to his wives  publicly and without shame  they know what he thinks about women  from his own mouth not just once but a public broadcast history they know how mean spirited he is toward gold star families and latina beauty queens and high school girls and real tortured military heroes and in his recent new years tweet to us allbrbrthey excuse him and explain him and translate him  our great communicator  while he runs roughshod over politeness and courtesy and class and grace and calls his crude meanness a lack of political correctness  while my father who was born in 01 and fought at age 16 in the great war would have slapped him across the face for the words he uses the crudeness he displays and he would have thrown him  bodily  from the porch of our homebrbri know a good and gracious man when i see one  one is leaving the white house  and one should never get close to its shadow
80,already sick of hearing trump supporters blaming obama for the impending disaster that is the trump presidency  its not obamas faultits yoursbrjust like its your fault and not the federal governments that red states arent progressing at the rate that blue states are economically  its because of the people who live in those states that they are the worst part of the country not obamas  its what you voted for thanks to all that talk radio and right wing propaganda youve swallowed
81,from now on senator schumer and democrats in congress should let republicans know that they will not be collaborating with a trumpbradministration unless mr trump and all his nominates show their tax returnsbrunlike republicans with mr obama democrats will have a valid reason not to work with mr trumpbrbrdemocrats have to learn to play hardball
82,this would stand to reason the american voters chose a change of leadership and a change in some policies this is a result of the democratic process  i hope that you do not oppose that 
83,constantly these references here about putin the questionable capabilities of trump and now what the senate and congress will do are getting old  time will tell  first focus on the democrats who messed up by proposing hillary clinton thus causing several million voters to pass or switch over to the republicans  that is the real issue but not touched with a tenfoot pole  new york times please do your job
84,now that we finally have a smart guy as president we know he will do the right thing by supporting the republican repeal of all that obama has done for the average american this will mean more money for the white middle class and less bureaucracy to deal with in getting that money we also know that he knows more than the 20 plus intelligence agencies charged with gathering information on our enemies what bothers me about that prospect is that the only way you can know more about the russian hack than the cia or fbi is to have information from the hackers themselves
85,the good is that obamas policies are in peril the bad is the kind of peril they are in unfortunately two bads dont make a good
86,both the republicans and democrats are in for a shock with trump clearly trump will remove the epa bunch and other regulations but the other so called republican proposals no one will do that
87,maybe in their bubble they think they can do whatever they wish  let them  they will find the consequences to be rather instructive but not in a way they can possibly imagine  
88,once again this paper designs to shape and distort the truth of what the gop intends  is it possible for one example of this most obvious repeating fact that what the nyt deems negative is actually positive  is it possible that refashioning the social safety net will actually save tens of thousands of people from a lifetime dependency  which is the democrat intention  how else could they ever hope to win an election  by the way its not the congress that threatens the obama legacy  its the record itself  under a cleaner light  
89,obama knew he was never qualified to be a president but he still signed up for itbrbrhe ended up blaming his failures on republicans or racism he managed to botch obamacare even with sc supporting itbrbrhillary would have been a far better and successful president than obama  dnc failed us in 2008 and again in 2016 for different reasons
90,when they break theyll own it i can imagine the red state governors explaining to their working class white constituents why they no longer have health care insurance and why coal is no longer king and why the wall isnt being built and why their savings evaporated in another wall st scambrbrthe entire midwest will resemble atlantic city in a few short years and the saps who bought into the carnival barkers promises will blame everyone else for their predicament
91,its so difficult for me to understand how attacking healthcare connects with the every day working class voter the gop tries to paint it as evil incarnate despite millions of americans benefitting and more sign ups than ever this year  even with the higher rates trying to build up this passionate hatred for something that benefits so many is going to be a sticky move i really think its a massive mistake on the part of the gop 
92,one of the ideas being floated by republicans regarding the repeal of aca is expanding health insurance currently offered to federal employees very good with many options and continuing the acas provisions for preexisting conditions and dependent child healthcare  it would be interesting if the times covered some of those alternative scenarios
93,are obamas achievements in peril or is it that democracy is not working well there are three main policies in the article health taxes and environment  the point is i if the new congress supports the policies that favor the rich and attacks the programs that favor the not so rich  i do not think it will happen so easily  if it becomes reality we can start to think how we can make democracy work under new political parameters
94,a sitting presidents policies may be in peril as a new administration prepares to take the job its almost as though its not even fair anymore that some people  maligned all year by the continual adherence to silliness this headline upholds  elected a new person 
95,the main criteria for considering altering or repealing a program should be whether it is beneficial or not and if it is popular the republicans care about 2 things first is it obamas and second does it comply with their ideology not very objective are they
96,undoubtedly dt and his cabinet are enjoying their plans to increase their fortunes and power over the electorate we can only hope that the media will give up equal time and inform the majority of americans of what the oligarchs are doing and that there are enough public schools and universities left to teach political science and civicsbrbrit is time to reveal the stories of the koch brothers along with those of the proposed cabinet to the citizenry of the country they plan to rule
97,the gop is poised yet to promote unregulated supplyside economics which will fail systemically for america with no hope for economic recovery     brbrinvestment bankers control the wealth in america they manage huge stock portfolios with influential proportional ownership shares in many american corporations in our global economy to keep returns high for their investors the companies keep wages and benefits low and prices high this is the main reason why trickledown economics today does not work for middleclass america and will continue to failbrbryet the gop and trump favor supplyside economics
98,destroying the progress weve made on reducing co2 emissions is a crime against humanity  we will all face catastrophic climate change if we continue on the business as usual path of burning fossil fuels  is shortterm profit worth devastating climate disaster  apparently the exxonfunded republican party believes so   their grandchildren will not be so thrilled about it  brbrthe incoming climate change denying administration is poised to destroy our childrens futures  
99,the rich republicans never care if the poor live or dieeverything is bad choices and the fault of those they toy with emotionally and with healthcare physically all republicans the preponderance is close enough are only interested in maintaining and retaining their powerthey already have the money paul ryan is the head turncoat but how anyone can respect the position of speaker of the house after newt gingrich and dennis the rank and file pedophile hasstert is beyond mebut no one cares about truth anymore you have an uber indolent president elect who skips the very intelligence briefings he is now whining about not having seen evidence of the russian hackingwhat a baby put barron in chargethough he looks a bit lost too like father like son 
100,in my 71 years this is the most depressing anticipation of a new president i can recall  it seems like the evil empire is winning and they are going to usher in an era of repression and punishment of all but the top 1  good bye compassion and consideration and hello greed and revenge on democratic programs enacted to benefit masses of people  rip social security and medicare along with the affordable care act  
101,if the potential damage this demented sociopath can wreck on society is to be avoided the democrats need to completely reevaluate going forward  as long as trump retains the maniacal support of a lot of uninformed ignorant followers many of whom are racists etc but many of whom just do not have the intellectual capacity or in many cases the interest to evaluate anything he might do it will not be enough to present facts or truth or logic   an all out pr campaign will be necessary an assault such as has never been done unrelenting brbrwe need the very best of the entertainment industry to put together information which is easily understood and irrefutable  we are dealing with a pathological liar a con man who has fooled half the nation  and a public who loved being fooled  msm needs to give back what they gave to trump  his followers are impervious to facts  so we need to mount a propaganda campaign which is vicious as he is  
